Period,Variant,Group,Total Convos,Cohort Users,Eligible Users 7D,Eligible Users 14D,Eligible Users 28D,Retained Users 7D,Retained Users 14D,Retained Users 28D,Retention 7D %,Retention 14D %,Retention 28D %,Returned Users 7D,Returned Users 14D,Returned Users 28D,Return Rate 7D %,Return Rate 14D %,Return Rate 28D %
2026-01-01 to 2026-03-06,control,All,218477,138311,124701,110642,83570,41303,53191,50633,33.1200%,48.0700%,60.5900%,77291,83412,70575,61.9800%,75.3900%,84.4500%
2026-01-01 to 2026-03-06,control,Other Issues,32575,28247,25139,21936,16213,8244,10584,9694,32.7900%,48.2500%,59.7900%,15876,16685,13705,63.1500%,76.0600%,84.5300%
2026-04-01 to 2026-06-11,test,All,2916,2138,1663,1402,1111,617,702,675,37.1000%,50.0700%,60.7600%,1094,1076,943,65.7800%,76.7500%,84.8800%
2026-04-01 to 2026-06-11,test,AI Chatbot,2180,1662,1508,1364,1077,568,694,662,37.6700%,50.8800%,61.4700%,1012,1070,936,67.1100%,78.4500%,86.9100%
